NestID,ZoneID,Lat,Long,ExDate,Species,Key,VegPresence,VegType,RootPresence,PlantRoot,Comments,DistBarrier,DistHighWater,TotalDist,LocOnBeach,Divisions,SurfaceDepth,BottomDepth,InternalDepth,CavityWidth,Hatched,Unhatched,Developed_UH,LivePip,DeadPip,Yolkless,EncasedTotal,DevEnc_UH,H_Encased,UH_Encased,InvadedTotal,H_Invaded,UH_Invaded,Live,Dead,Depredated,RootDamageProp,HS,ES,TotalEggs,Notes,
100 2701 CKR APW,3,27.16,-82.48,9/22/22,Loggerhead ,Casey Key,1," -railroad vine
 -crested saltbush
 -sea oats",1,Railroad Vine, -railroad vine roots,10.67,13.72,24.39,0.563,M,47,52,5,26,41,45,0.00,0,1,0,24,6,0,24,0,0,0,0,0,0,0.2162,36.94,36.94,111,no separation between encased and invaded hatched and unhatched ,
62 2640 CKR CRO,3,27.16,-82.49,8/10/22,Loggerhead,Casey Key,1, -railroad vine,1,Railroad Vine, -railroad vine roots in nest,10.67,11.58,22.25,0.521,M,39,48,9,28,87,10,0.00,0,8,0,1,0,0,1,0,0,0,0,1,0,0.0094,82.08,81.13,106,n/a,
77 2701 CKR BAB,3,27.16,-82.49,8/24/22,Loggerhead,Casey Key,1," -railroad vine 
 -sea oats",1,Railroad Vine, -railroad vine and sea oat roots in nest,0.91,18.59,19.51,0.953,U,37,52,15,21,21,1,0.00,0,0,0,2,0,2,0,6,6,0,0,0,31,0.1311,47.54,47.54,61,n/a,
64 2411 CKR CRO,4,27.16,-82.49,8/10/22,Loggerhead,Casey Key,1, -railroad vine,1,Railroad Vine, -railroad vine roots in nest,8.84,17.68,26.52,0.667,U,38,47,9,23,40,11,0.00,0,0,0,31,0,30,1,5,5,0,0,0,0,0.4138,86.21,86.21,87," -all invaded eggs were hatched and were invaded by tan roots, while encased were
 all black roots",
79 2209 CKR AWP,4,27.16,-82.48,8/25/22,Loggerhead,Casey Key,1, -railroad vine,1,Railroad Vine, -railroad vine roots in nest,13.72,10.36,24.08,0.430,M,29,49,20,18,92,12,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,88.46,88.46,104,n/a,
65 2501 CKR AWP,4,27.16,-82.49,8/10/22,Loggerhead,Casey Key,1," -sea oats
 -railroad vine
 -crested saltbush",1,Railroad Vine, -railroad vine roots in nest,15.24,19.81,35.05,0.565,M,34,48,14,22,51,1,0.00,0,1,0,66,0,59,7,0,0,0,0,0,0,0.5546,92.44,92.44,119,n/a,
66 2557 CKR RPW,4,27.16,-82.50,8/12/22,Loggerhead,Casey Key,1, -railroad vine,1,Railroad Vine," -railroad vine roots in
 nest",11.28,13.41,24.69,0.543,M,43,48,5,24,70,6,16.67,0,5,0,0,0,0,0,0,0,0,1,0,0,0.0000,86.42,85.19,81,n/a,
81 2411 CKR AWP,4,27.16,-82.49,8/24/22,Loggerhead,Casey Key,1, -railroad vine,1,Railroad Vine, -railroad vine roots in nest,14.02,12.19,26.21,0.465,M,33,51,18,26,67,1,0.00,0,1,0,33,0,25,8,5,5,0,0,0,0,0.3551,90.65,90.65,107,n/a,
78 2315 CKR CRO,4,27.16,-82.49,8/25/22,Loggerhead,Casey Key,1, -railroad vine,0,,n/a,13.11,15.24,28.35,0.538,M,39,48,9,22,77,14,0.00,0,5,0,0,0,0,0,0,0,0,2,4,0,0.0000,80.21,73.96,96,,
47 1804 CKR NAW,5,27.15,-82.48,8/3/22,Loggerhead,Casey Key,1," -sea oats
 -beach naupaka
 -sea grapes
 -palm
 -sea purslane",1,Sea Oats," -penetration of sea 
oat roots into nest",-0.91,17.07,16.15,1.057,U,37,46,9,25,66,5,20.00,0,0,0,3,0,0,3,0,0,0,0,0,0,0.0405,89.19,89.19,74,n/a,
76 1776 CKR KEC,5,27.15,-82.48,8/23/22,Loggerhead,Casey Key,1," -sea purslane
 -sea oats 
 -beach naupaka",1,Sea Oats," -sea oats roots in nest
 -sea purslane roots in nest",1.52,17.68,19.20,0.921,U,34,42,8,21,7,0,0.00,1,1,0,66,0,59,7,0,0,0,3,0,0,0.8800,88.00,84.00,75,,
81 2000 CKR NAW,5,27.15,-82.48,8/23/22,Loggerhead,Casey Key,1, -sea oats,1,Sea Oats, -sea oats roots,3.96,11.28,15.24,0.740,U,44,53,9,24,54,3,0.00,0,0,0,0,0,0,0,0,0,0,3,2,0,0.0000,94.74,85.96,57,,
